"Phase","Index","Label","Description","Category","Level","Symptom","Entry"
"3","4983.0","history of stroke","Stroke occurs when something blocks the blood supply to the brain or when a blood vessel in the brain bursts","Disease / Medical Condition","2","history of cerebrovascular insult","""I have a history of cerebrovascular insult, which is a type of stroke or blockage in the brain."""
"3","2144.0","joint swelling","Enlarged shoulder","Symptom","2","bulge in shoulder","I have a bulge in shoulder."
"1","1174","weak immune system","Falling sick easily","Symptom","2","infections last long","Whenever I get sick, it seems like I stay sick for a really long time and the infections just last way longer than they should."
"3","3711.0","breathing in dust, smoke or chemicals for a long period of time","Long-term exposure to dust, smoke, or chemicals","Risk factor","2","prolonged exposure to airborne contaminants","I have had prolonged exposure to airborne contaminants, which could be a risk factor for my overall health."
"1","2212","weakness of hand","","Symptom","2","impaired hand function","My hand is not functioning normally"
"3","5673.0","family history of kidney disease","Being diagnosed with kidney cancer","Family History","2","renal cell carcinoma is prevalent in family","Doctor, renal cell carcinoma is prevalent in my family. Several of my relatives have been diagnosed with it. Should I be taking any specific precautions or undergo regular screenings?"
"3","3668.0","joint swelling","Enlarged knee joint","Symptom","1","swelling in knee joint","Doctor, I'm here today to discuss a health concern related to persistent swelling in my knee joint. Over the past few weeks, I've noticed ongoing swelling in my knee area, and I believe it's crucial to bring this matter to your attention for a proper evaluation and guidance.The swelling in my knee has been a cause of discomfort and concern for me. It's affecting my mobility and causing occasional pain. I haven't experienced any specific injury or trauma to the knee recently, which makes this issue particularly puzzling for me."
"3","3038.0","use of trimethoprim sulfamethoxazole","Trimethoprim is an antibiotic used mainly in the treatment of bladder infections","Medication","2","use of trimpex","I have been use of trimpex"
"3","2050.0","cardiomyopathy","Cardiomyopathy is a disease of the heart muscle that makes it harder for the heart to pump blood to the rest of the body","Disease / Medical Condition","1","cardiomyopathy","I have been diagnosed with cardiomyopathy."
"3","1110.0","trauma to jaw","Recently being hit hard on your jaw","Risk factor","2","dental arch injury","""I recently experienced a significant impact to my jaw, and I'm concerned about a potential dental arch injury."""
"3","2907.0","use of cephalosporin","Cephalosporin is an antibiotic that fights bacteria in your body","Medication","2","use of cefuroxime","I would like you to know about my use of cefuroxime."
"3","1486.0","use of trimethoprim sulfamethoxazole","Trimethoprim sulfamethoxazole is used to treat some infections including urinary tract infections, middle ear infections, and bronchitis","Medication","2","under trimethoprim sulfamethoxazole","""I am currently under trimethoprim sulfamethoxazole medication."""
"1","1352","muscle cramps","","Symptom","2","muscle spasms","I have been experiencing muscle spasms, where certain muscles involuntarily contract and cause sudden jerking movements. It's been happening frequently, and it's becoming a cause of concern for me. I would appreciate your help in understanding the cause and finding ways to manage and alleviate these muscle spasms."
"3","2484.0","use of lincosamide","Lincosamide is an antibiotic","Medication","2","taking lincosamide","""I am currently taking a lincosamide, which is an antibiotic, and I wanted to make you aware of this aspect of my medication regimen."""
"3","2805.0","raw dairy product consumption","Raw as in unprocessed, straight from the source of origin","Risk factor","2","unpasteurized dairy eating","I've been consuming unpasteurized dairy products."
"3","3351.0","high sugar consumption","Often eating food rich in added sugar","Risk factor","2","overconsumption of sugar","I have been having an issue with overconsumption of sugar"
"3","2617.0","family history of celiac disease","Celiac disease is an immune reaction to eating gluten","Family History","1","family history of celiac disease","On my father's side of the family, I had a family history of celiac disease."
"3","3395.0","contact with animals like dogs, goats, cows, horses, and pigs","Recent contact/exposure to animals","Risk factor","2","being around horses","Recently, I spent many hours being around horses."
"1","126","bradykinesia","Slowness of movement","Symptom","2","reduced mobility","Lately, I've been experiencing reduced mobility, where my movements have become slower and more difficult. It's affecting my daily activities, and I'm concerned about the underlying cause of this change in my mobility."
"1","1820","foamy urine","Pus in urine","Symptom","2","thick urine","I have really thick urine when I go to the toilet."
"3","1333.0","use of penicillin","Penicillins are used to treat infections caused by bacteria","Medication","2","use of oxacillin","I've been using oxacillin as part of my medication."
"3","1545.0","use of methimazole","Methimazole is a medication used to treat overactive thyroid gland","Medication","2","use of northyx","Doctor, i would like to inform you that and also want you to know that i use northyx medication to treat my high tyroid levels in my body. And it really help to reduce the levels."
"3","2340.0","recent surgery","Vascular surgery can be any surgery that includes arteries, veins and lymphatic vessels","Procedure / Surgery","2","had blood vessel operation","I have had a blood vessel operation in the past, so this is something I want to make sure my doctor is aware of."
"1","619","dysarthria","Slurred speech","Symptom","2","poor pronunciation of words","I have been experiencing poor pronunciation of words. It feels like my speech is slurred and unclear, making it difficult for others to understand me."
"1","1985","scrotal pain","Pain in testicles","Symptom","2","testicular discomfort","I've been having this persistent testicular discomfort for the past week. It feels like a dull ache and it's bothering me throughout the day."
"3","2481.0","nephrotic syndrome","Nephrotic syndrome is a kidney disorder that causes your body to pass too much protein in your urine","Disease / Medical Condition","2","passing too much protein in urine","I am passing too much protein in my urine."
"3","4082.0","family history of vitiligo","Vitiligo is a disease that causes loss of skin color in patches","Family History","3","family history of vitiligo","""I have a family history of skin conditions involving the loss of pigmentation in patches."""
"3","1844.0","family history of thalassemia","Thalassemia is a blood disorder that causes your body to have less hemoglobin than normal","Family History","2","thalassemia runs in the family","Members of my family have been diagnosed with thalassemia."
"1","1505","pimples or bumps","Painful red-purple slightly raised bumps on the tip of your fingers or toes","Symptom","2","tender nodules on the fingers and toes","I'm having pain on my fingers and toes. I've tried over the counter meds and nothing is helping with the pain."
"3","3148.0","recent nail injury or trauma","Recently hit or injured your nails","Risk factor","2","nail injury or trauma in the medical records","My medical records indicate that I have had nail injury or trauma in the past. This could be a risk factor for my current condition."
"3","4941.0","history of ovarian cancer","The ovary is an organ in the reproductive system of females that produces and stores eggs","Disease / Medical Condition","2","history of ovarian carcinoma","I have a history of ovarian carcinoma"
"3","2523.0","history of uterine surgery","Uterine surgery refers to any surgery of the womb such as a c-section, but not including the removal of the uterus","Procedure / Surgery","2","previously undergone uterine surgery","I have previously undergone uterine surgery."
"3","4421.0","use of tanning bed","Indoor tanning beds have been used for tanning purposes","Risk factor","2","use of tanning booth","I would like you to know that I have been using tanning booths, and I consider it a potential risk factor that you should be aware of."
"1","47","angioedema","Swelling of deeper skin layers","Symptom","2","lips puffiness","I've been experiencing puffiness in my lips lately. I'm worried about it."
"3","4077.0","abdominal surgery","Surgical removal of part of the small intestine","Procedure / Surgery","2","ileum resectomy","""I have ileum resectomy""."
"3","4898.0","recent abdominal injury or trauma","The belly was recently hit or injured","Risk factor","2","hitting abdominal injury or trauma recently","I recently experienced abdominal injury or trauma due to hitting, and I wanted to make sure you were aware of this."
"3","4143.0","antiepileptic drugs","Carbamazepine is a medication used primarily in the treatment of epilepsy","Medication","2","use of tegretol","""I have a history of using Tegretol."""
"1","1749","sleepiness","Prolonged sleeping at night","Symptom","2","extended sleep duration at night","Lately I have been experiencing extended sleep duration at night."
"1","2259","xerostomia","Dry mouth","Symptom","2","mouth doesn't produce enough saliva","My mouth constantly feels parched even when I drink water."
"1","1755","pruritus","Itchy skin","Symptom","2","urge to scratch the skin","My skin is really itchy. It feels like I have an irresistible urge to scratch."
"1","161","back pain","","Symptom","2","lumbago","Doctor, I've been experiencing lumbago. It's a persistent pain and discomfort in my lower back that's been affecting my daily activities and mobility."
"3","2042.0","frequently submerged in hot water","Being exposed to hot water for long periods of time","Risk factor","2","frequent hot baths","I have frequent hot baths."
"3","2621.0","family history of celiac disease","Celiac disease is an immune reaction to eating gluten","Family History","2","inherited predisposition to celiac disease","I have an inherited predisposition to celiac disease, which has potential health risks that I would like to discuss with you."
"1","274","breast tenderness","Breast sore to the touch","Symptom","3","breast tenderness","My breasts are feeling heavy and tired. I feel that my breasts are sore. I feel that my breasts are more sensitive than normal."
"1","1034","hypopigmented skin lesion","Light spots of skin","Symptom","2","light macule","These strange light spots started appearing on my skin and I'm getting worried"
"3","739.0","history of fibroids","Uterine fibroids are non-cancerous growths that develop in or around the womb","Disease / Medical Condition","2","having fibroids in the past","I was having fibroids in the past."
"3","963.0","family history of pheochromocytoma","Pheochromocytoma is a rare, usually non-cancerous tumor that develops in an adrenal gland","Family History","2","father had pheochromocytoma","My late father had pheochromocytoma"
"3","1584.0","family history of testicular cancer","Testicular cancer is cancer that occurs in the testicles (testes), which are located inside the loose bag of skin underneath the penis","Family History","2","inherited predisposition to testicular cancer","I have an inherited predisposition to testicular cancer – something that is only applicable to males."
"1","2115","stinging or burning sensation at face","Prickling sensation on face","Symptom","3","stinging or burning sensation at face","I noticed yesterday my face feels weird or prickly without any warning"
"3","3099.0","wearing high heels daily or for prolonged durations","Often wearing high heels for long periods of time","Risk factor","2","daily high heel usage","I use high heels on a daily basis, which is a risk factor for certain medical issues that are common to women."
"3","2504.0","joint swelling","Swelling is when the area gets larger or rounder in size","Symptom","2","change in wrist size","I have noticed a change in my wrist size, commonly referred to as an enlarged wrist, which is a risk factor I thought should be noted."
"3","3440.0","recent eye or eyelid injury or trauma","Eyes or eyelids recently being hit or injured","Risk factor","2","a recent record of eye and eyelid injury and trauma","I have recently had an injury and trauma to my eye and eyelid."
"1","607","infertility","Inability to conceive a child","Symptom","2","subfertility","We are unable to get pregnant, I am having subfertility issues."
"3","785.0","use of vitamin a","Taking vitamin A supplements","Medication","3","use of vitamin a","I've been incorporating retinol supplements into my routine, and I thought it was important to inform you about my current use of this particular supplement."
"1","743","onychoschizia","Splitting of the fingernails","Symptom","1","onychoschizia","""Sometimes I'm just resting on my onychoschizia"""
"1","1406","nephrolithiasis","Kidney stones","Symptom","2","kidney gravel","I think I'm feeling kidney gravel."
"3","4529.0","family history of eclampsia","Eclampsia is a serious condition where high blood pressure results in seizures during pregnancy","Family History","3","family history of eclampsia","There's a history of a specific condition within my family related to pregnancy complications, and I think it's important for you to be aware of this."
"1","1987","thick skin under the breasts","","Symptom","2","skin thickening beneath the breasts","Doctor, I've noticed skin thickening beneath my breasts. The skin in this area feels abnormally thicker and tougher than usual, and it's been causing discomfort and concern. I would appreciate your evaluation to understand the cause and explore potential treatment options."
"3","559.0","history of a forceful arm pull","Having a child who had an arm pulled or twisted very hard","Risk factor","3","history of a forceful arm pull","I have experienced a past arm injury due to a sudden pull."
"1","1064","weakness of hand","Inability to rotate hand to have palm face upwards or downwards","Symptom","2","cannot have palm face downwards","I noticed while cooking Wednesday night that I cannot have my palm face downwards anymore."
"1","1137","skin erythema","Painless red spots on the soles of feet or palms of hands","Symptom","2","red flat spots on the underside of feet","After showering today I happened to spot some red flat spots on the undersides of my feet."
"1","263","dyspareunia","Pain during sexual intercourse","Symptom","2","painful intercouse","Sometimes I do not enjoy sex due to painful intercouse"
"3","2296.0","sarcoidosis","Sarcoidosis is a rare condition that causes small patches of red and swollen tissue to develop in the body","Disease / Medical Condition","3","sarcoidosis","I have a condition that causes small patches of red swollen tissue to develop on my body."
"1","2266","xerostomia","Dry mouth","Symptom","2","salivary glands don't make sufficient saliva","Doctor, I am experiencing a lack of sufficient saliva production in my mouth, commonly known as dry mouth. It feels uncomfortable and causes difficulty in speaking and swallowing at times."
"1","60","change in eating habits","Poor appetite","Symptom","2","can't eat well","Patient: Lately, I've been having difficulty eating well. My appetite has significantly decreased, and I struggle to enjoy food as I used to."
"1","489","groin pain","Pressure below abdomen","Symptom","2","heaviness between stomach and thigh","I HAVE HEAVINESS BETWEEN STOMACH AND THIGH. IT MAKES IT VERY DIFFICULT TO SLEEP AT NIGHT."
"1","345","fever","","Symptom","1","fever","Doctor, I've been running a high fever for the past three days, and it's accompanied by chills and body aches. It all began after attending a family gathering where several relatives were showing symptoms of a respiratory illness. I suspect I may have contracted a viral infection, as the fever started shortly after the event and has progressively worsened since then."
"1","671","mass at lower extremities","Mass at the hip, thighs, legs or feet","Symptom","2","mass at hip","Doctor: What are you experiencing?
Patient: I've noticed a concerning mass at my hip, which has been causing discomfort and difficulty in movement. It appeared gradually, and I'm unsure of its cause."
"3","860.0","family history of parkinson's disease","Parkinson's disease is a brain disorder that leads to shaking and difficulty with walking, balance, and coordination","Family History","2","family history of pd","I have a family history of Parkinson Disease"
"1","347","fever","","Symptom","2","high body temperature","Sometimes when I am laying down, I feel that my body is overheating."
"3","3316.0","recent injury or trauma in lower leg without ankle and feet","Recently hit or injured your lower leg, Note that the lower leg does not include your ankle and foot","Risk factor","2","injury and trauma in lower leg without ankle and feet is part of the medical background","Doctor, I want to mention that I have a history of injury and trauma in my lower leg, specifically without involving my ankle and feet. I believe it's important to include this in my medical background as it might be relevant to any current or future issues in that area."
"3","2565.0","family history of endometrial cancer","Endometrial relates to the lining of the uterus or womb","Family History","2","endometrial cancer is present among relatives","i have endometrial cancer is present among relatives"
"1","709","enlarged facial features","","Symptom","2","lips thickening","I feel like my lips are thickening. Recently, I have noticed more skin on my lips. It seems to be."
"3","120.0","use of sedative drugs","The use of a medication that helps in sleeping or relaxing","Medication","2","use of valium","I have a history of valium use."
"3","5298.0","family history of ovarian cancer","The ovary is an organ in the reproductive system of females that produces and stores eggs","Family History","2","ovarian cancer runs in the family","I have a family history of ovarian cancer, so it's important to consider that risk factor when assessing my health."
"3","4628.0","family history of colorectal cancer","Colorectal is anything relating to colon or rectum","Family History","2","mother had colorectal cancer","My mother had colorectal cancer."
"3","3214.0","use of calcium channel blockers","Calcium channel blockers are medications that relax blood vessels and increase the supply of blood and oxygen to the heart","Medication","2","taking calcium channel blockers","I'm taking calcium channel blockers."
"1","778","fingers clubbing","Enlargement of the fingertips and downward sloping of nails","Symptom","2","hippocratic fingers","I've noticed something really weird going on with my nails. I looked it up, and I think I might have hippocratic fingers."
"1","962","crusty skin","Yellowish scabs","Symptom","2","dry yellow crust around ears","sometime i am facing this problem dry yellow crust around ears."
"3","3777.0","family history of polymyalgia rheumatica","Polymyalgia rheumatica is a disorder that causes muscle pain and stiffness, especially in the shoulders and hips","Family History","2","father had polymyalgia rheumatica","I'd like to inform you that my father had polymyalgia rheumatica, and I believe it's important for you to be aware of this in my medical history."
"3","2355.0","any thyroid disease","Having a disease in the Thyroid gland, a gland in the neck that produces hormones to control the speed of metabolism","Disease / Medical Condition","2","thyroid hormone imbalance","I would like to let you know that I have a thyroid hormone imbalance."
"3","3848.0","cavus foot","Foot with a very high arch","Disease / Medical Condition","2","hollow foot","I have a hollow foot."
"1","469","heaviness in lower extremities","Sensation of heavy legs","Symptom","2","sensation of heavy legs","Blood pooling can put pressure on the nerves in your legs, making them feel heavy"
"3","1655.0","joint swelling","Enlarged fingers","Symptom","2","protruded fingers","My fingers have protruded or become enlarged"
"3","3508.0","joint stiffness","Difficulty moving toes","Symptom","2","inflexibility in toes","I've been experiencing inflexibility in my toes, which is making it difficult for me to move them as usual."
"3","4080.0","abdominal surgery","Surgical removal of part of the small intestine","Procedure / Surgery","2","removal of a part of the small intestine","I have had surgery in the past. It was to remove part of my small intestine."
"1","958","ankle joint swelling","Enlarged feet or ankle","Symptom","1","swelling in feet or ankle region","The area around my ankle seems to be swollen."
"3","3538.0","history of placenta previa","Placenta previa is a problem during pregnancy when the placenta completely or partially covers the opening of the uterus (cervix)","Disease / Medical Condition","2","having placenta previa in the past","I having placenta previa in the past"
"1","42","angioedema","Swelling of deeper skin layers","Symptom","1","angioedema","I have an angioedema"
"3","4224.0","eating spicy food","Spicy food is frequently consumed","Risk factor","2","enjoying fiery food","I like eating spicy and fiery foods."
"3","1646.0","recent surgery","Cardiac surgery is surgery of the heart or the large vessels connected to the heart","Procedure / Surgery","2","had cardiac operation","I had cardiac operation"
"3","2551.0","overuse of nasal decongestant sprays","Using a Nasal decongestant spray (a drug used to relieve nasal congestion) for more than a couple of days","Risk factor","2","overuse of neo-synephrine","I have overuse of neo-synephrine"
"1","2142","vertigo","Spinning dizziness","Symptom","2","spinning surroundings","I feel like my surroundings are spinning."
"3","2452.0","recent surgery","Orthopedic generally involves the muscles, bones, joints, and adjacent tissues","Procedure / Surgery","2","history of muscles surgery","I want you to know that I have a history of muscle surgery."
"3","1908.0","high salt consumption","Eating a lot of salty foods or using salt often","Risk factor","2","overuse of salt","I over salt my food often. What can it do to my health?"
"1","440","halitosis","Bad breath","Symptom","3","halitosis","I've been having a problem with bad breath lately. It's especially noticeable in the morning when I wake up. I've tried brushing my teeth and flossing more often, but it doesn't seem to help."
"1","1451","numbness or tingling in upper extremities","Numbness or tingling in shoulders arms or hands","Symptom","2","numbness in arm","Whenever i hold something i feel some numbness in my arm."
"3","3245.0","tubal surgery","In a tubal surgery, one or both of your tubes that carry eggs from the ovary to the uterus are tied up","Procedure / Surgery","2","tubal sterilization","The LigaSure tissue fusion function has not been shown to be effective for tubal sterilization or tubal coagulation for sterilization procedures."
"1","940","sudden weakness in one side of the body, that may include the face","","Symptom","2","sudden weakness of arm and leg on one side of the body","All of a sudden, I lost strength and control in my arm and leg on one side of my body, as if they've become incredibly weak and difficult to move."
"3","4158.0","prior transient ischemic attack","Transient ischaemic attack or ""mini stroke"" is caused by a temporary disruption in the blood supply to part of the brain","Disease / Medical Condition","1","prior transient ischemic attack","I had prior transient ischemic attack"
"3","5124.0","use of propylthiouracil","Propylthiouracil is a medication used to treat hyperthyroidism where the thyroid gland makes too much thyroid hormone","Medication","2","propylthiouracil consumption","""I've consumed propylthiouracil before."""
"3","4971.0","history of stroke","Stroke occurs when something blocks the blood supply to the brain or when a blood vessel in the brain bursts","Disease / Medical Condition","3","history of stroke","I've had a noticeable incident in the past related to my cardiovascular system."
"3","3811.0","family history of osteoarthritis","Osteoarthritis is the most common form of arthritis mainly affects joints in your hands, knees, hips and spine","Family History","2","osteoarthritis has been seen in multiple family members","Something that has been seen in multiple family members is osteoarthritis."
"3","1771.0","history of deep vein thrombosis","Deep vein thrombosis is the blockage of normal blood flow due to blood clot formation","Disease / Medical Condition","2","history of thrombophlebitis","I have been history of thrombophlebitis"
"3","2287.0","use of macrolides","Macrolides inhibit the growth of bacteria and are used to treat common bacterial infections","Medication","2","use of clarithromycin","I would like to let you know that I am using clarithromycin."
"1","1539","pain in upper extremity","","Symptom","3","pain at fingertip(s)","My fingertips hurt almost numb like."
"3","3850.0","cavus foot","Foot with a very high arch","Disease / Medical Condition","2","cavovarus foot","I have a cavovarus foot"
"3","2290.0","use of macrolides","Macrolides inhibit the growth of bacteria and are used to treat common bacterial infections","Medication","2","use of erythromycin","I have been using erythromycin on and off for several years, so this could be a risk factor that I wanted to mention."
"3","1362.0","stress","Being stressed out","Symptom","2","worry","I would like to let you know that I have been feeling a lot of worry lately."
"3","4343.0","uncircumcised penis","An uncircumcised penis retains the foreskin, which covers the head of a penis","Personal characteristics","2","natural penis","I have a natural penis, commonly known as not having undergone any form of penile surgery."
"3","293.0","history of gastrointestinal bleeding","Vomiting blood or noticing blood in poop","Symptom","2","history of intestinal bleeding","""I have a history of intestinal bleeding."""
"1","2149","vertigo","Spinning dizziness","Symptom","2","wooziness","Every morning I've been feeling extreme wooziness."
"3","2684.0","family history of recurrent otitis media","Otitis media is an inflammation of the middle ear","Family History","2","grandma had recurrent otitis media","""I have been previously diagnosed with fibroids"""
"1","1035","hypopigmented skin lesion","Light spots of skin","Symptom","2","pale macule","I have areas of pale macule on my skin."
"3","4842.0","previous history of testicular torsion","Testicular torsion is when tissues around the testicle are not attached well This can cause the testicle to twist","Disease / Medical Condition","2","testicular torsion is part of the medical background","i have been testicular torsion is part of the medical background"
"1","689","elbow bruising","Skin injury on elbow","Symptom","2","elbow contusion","i have noticed that my arm appears to have a elbow contusion even though i have not been injured."
"1","212","diarrhea","","Symptom","2","the runs","I have diarrhea. I can't stop running to the bathroom."
"3","14.0","consumption of contaminated food or water","Eating/drinking dirty food or water","Risk factor","2","eating polluted water","I found out I drank polluted water"
"3","4774.0","history of abruptio placenta","Placental abruption happens when the placenta partly or completely separates from the inner wall of the womb before delivery","Disease / Medical Condition","2","dealing with abruptio placenta before","I've dealt with abruptio placenta before."
"1","520","hyperpigmented skin lesion","Skin hyperpigmentation","Symptom","2","widespread skin discoloration","I have widespread skin discoloration."
"3","2344.0","recent surgery","Vascular surgery can be any surgery that includes arteries, veins and lymphatic vessels","Procedure / Surgery","2","history of vascular procedure","Doctor, I've previously had a vascular procedure in my medical history. I wanted to make sure you're aware of this as we discuss my current health concerns. It might be relevant for any evaluations or treatments you might recommend"
"3","5736.0","atopic dermatitis","Atopic dermatitis is Eczema, a condition that causes dry, itchy and inflamed skin","Disease / Medical Condition","3","atopic dermatitis","I've had a recurring skin condition that tends to flare up from time to time. It often involves redness, itching, and discomfort."
"3","3776.0","family history of polymyalgia rheumatica","Polymyalgia rheumatica is a disorder that causes muscle pain and stiffness, especially in the shoulders and hips","Family History","2","mother had polymyalgia rheumatica","Previously, my doctor has diagnosed me with balanitis."
"1","1894","red tonsils","","Symptom","2","redness at the two small organs at the back of the mouth","Those two small organs at the back of my mouth are red, and I'm wondering if that's abnormal."
"1","2179","swelling in thighs","Enlarged thighs","Symptom","2","puffy thighs","My thighs are puffy."
"1","348","cold extremities","Cold hands or feet","Symptom","2","freezing hands and feet","No matter how many socks or gloves I put on, my hands and feet are always freezing."
"1","214","bradycardia","Slow heart rate","Symptom","2","slow pulse","When I went to give blood, they said that my pulse rate is very slow."
"3","4239.0","pregnant","Being pregnant","Reproductive/sexual status","2","with a baby on the way","""I'm currently expecting a baby."""
"1","70","stress","","Symptom","2","stressed out","Lately I have been feeling overwhelmed and stressed out."
"3","5794.0","use of beta blockers","Beta-blocking medications are medications that reduce blood pressure","Medication","2","use of betaloc","Doctor, I've been using Betaloc."
"3","200.0","sexual performance anxiety","Being nervous before or during sex","Symptom","2","intimacy anxiety","""I've been experiencing intimacy anxiety, and I'd like to discuss it with you."" ✅"
"3","2768.0","history of injury in breast","Having breasts ever been injured or hit","Risk factor","2","history of boob injury","I have a history of boob injury."
"3","6145.0","recent surgery","Recently had surgery on your belly","Procedure / Surgery","2","abdominal surgery is part of the medical background","My medical history includes an abdominal surgery."
"3","5528.0","family history of colonic polyps","Colonic polyps are fleshy growths present on the surface of the colon or of the rectum","Family History","2","colonic polyps has a familial association","I have a familial association with colonic polyps- both my parents have had them."
"3","1801.0","use of dilating eye drops","Dilating drops allow the doctor to examine the inside of the eye","Medication","2","use of mydriatic eye drops","Lately I have been using mydriatic eye drops."
"3","3415.0","use of ace inhibitors","ACE inhibitor is a heart medication that dilates your blood vessels","Medication","2","use of capoten","""I have a history of using Capoten, and I wanted to inform you about it as part of my medical history."""
"1","1922","rhinophyma","Enlarged nose","Symptom","2","thickened nose","Doctor, I've noticed that my nose has become thickened, almost as if it's enlarged or swollen. This change in the appearance of my nose has been concerning, and I'm unsure about the cause behind it."
"3","5936.0","symptoms appear before every period","Symptoms typically appearing up to 2 weeks before periods and being relieved when your period comes","Timeline of symptoms","2","symptoms appear up to 2 weeks before periods","I experience symptoms that can last up to two weeks before my period, which is something that is specific to my female gender."
"3","2933.0","use of birth control pills","Estrogen is the female hormone","Medication","2","use of estradiol","I am taking estradiol, a hormone therapy commonly prescribed to female patients."
"1","194","blue sclerae","Bluish coloration of the whites of the eyes","Symptom","3","blue sclerae","I noticed the color of my eyes changed"
"1","896","hallux valgus","Large bases of the big toes","Symptom","2","bony bump at the base of big toe","I've noticed a bony bump at the base of my big toe. It's causing discomfort and making it difficult to find proper footwear."
"3","4779.0","history of abruptio placenta","Placental abruption happens when the placenta partly or completely separates from the inner wall of the womb before delivery","Disease / Medical Condition","2","history of early separation of placenta","I have a history of early separation of placenta."
"3","1179.0","family history of rosacea","Rosacea is a skin disease characterized by redness of the face","Family History","2","genetic heritage of rosacea","""I have a genetic heritage of rosacea."""
"3","5393.0","pain in inner elbow or elbow pit","Elbow pit is the opposite side of the boney projection of the elbow","Symptom","2","elbow pit hurts","I am experiencing pain in my elbow pit, which is located between the inner part of my elbow and my armpit."
"3","2225.0","chronic throat clearing","Excessively clearing the throat either forcefully or by unintentionally coughing","Symptom","2","too much throat clearing","I've been frequently clearing my throat, and it's become a concern for me"
"1","1955","scaly skin","Cracked skin","Symptom","3","scaly skin","My skin feels weird and rough."
"3","6010.0","diabetes mellitus","Diabetes is a chronic disease that occurs either when the pancreas does not produce enough insulin or when the body cannot effectively use the insulin it produces","Disease / Medical Condition","3","diabetes mellitus","I have been living with a condition that affects my blood sugar. My doctor has previously diagnosed me and put me on a management plan."
"1","725","nipple discharge","Release of fluid from the nipple","Symptom","2","strange liquid from nipples","I am confused because a very strange substance is coming from my nipples. Could not figure out why. Can you?"
"3","5213.0","previous eye infection","Ever had any infection in your eyes","Disease / Medical Condition","2","history of eye disease","I have a history of eye disease that might affect my eyesight, and I'd like you to consider this when evaluating my overall condition."
"1","1086","irregular menstruation","Irregular periods","Symptom","2","period duration varies","Sometimes I go months without a period."
"3","3200.0","use of diuretics","Diuretics are used to rid the body of extra fluid or salt","Medication","2","use of aldactone","""I am currently using aldactone."" ✅"
"1","34","alternation between diarrhea and constipation","","Symptom","2","irregular bowel habits","My bowel habits have been irregular"
"3","5268.0","use of fluoroquinolones","Fluoroquinolones are a class of antibiotics approved to treat or prevent certain bacterial infections","Medication","2","use of ofloxacin","I have been taking ofloxacin, a medication used to treat bacterial infections, for the last few weeks."
"1","1030","tenderness in leg","Thigh hurts when touched","Symptom","2","femur area pain by touching","My thigh hurts to the touch."
"1","504","hematuria","Blood in urine","Symptom","2","tea-colored urine","I've noticed my pee has a tea-colored urine in the past few days with some red spotting from time to time."
"1","126","bradykinesia","Slowness of movement","Symptom","2","reduced mobility","Doctor, I've been experiencing reduced mobility lately, where my movements have become noticeably slower. It's taking more effort and time for me to perform tasks that I used to do effortlessly, and it's been affecting my daily activities."
"3","5113.0","family history of sudden cardiac death","Cardiac death is the loss of the heart's function leading to death","Family History","2","grandpa had sudden cardiac death","My grandpa had sudden cardiac death""."
"3","807.0","use of growth hormone","Being on growth hormone treatment","Medication","2","use of saizen","Hey doc, I use saizen."
"3","5828.0","family history of alopecia areata","Alopecia areata is an autoimmune disorder that usually results in unpredictable, patchy hair loss","Family History","2","alopecia areata runs in the family","I would like you to know that alopecia areata runs in my family. I have been personally affected by this issue, which is not gender-specific and can cause bald patches on the scalp or other areas of the body."
"1","1001","tachycardia","Rapid heart rate","Symptom","3","tachycardia","I was just resting on my bed, and suddenly noticed my heart pounding faster than usual."
"3","5718.0","family history of rheumatoid arthritis","Rheumatoid arthritis is a long-term condition that causes pain, swelling and stiffness in the joints","Family History","2","inherited predisposition to rheumatoid arthritis","Doctor, I have an inherited predisposition to rheumatoid arthritis, and I'm interested in learning more about how this may impact my health and what steps I can take to manage or reduce my risk of developing the condition."
"1","847","gingival erythema","Gum redness","Symptom","1","gingival erythema","Yesterday night while brushing my teeth I noticed gingival erythema."
"3","1936.0","history of alzheimer disease","Alzheimer's is a type of dementia that affects memory, thinking and behavior","Disease / Medical Condition","2","alzheimer disease in the medical records","Alzheimer's disease is noted in my medical records."
"1","2244","tenderness in upper extremity","Arms hurt when touched","Symptom","3","tenderness in upper extremity","I've been having discomfort and pain in my upper limbs, particularly when they're touched or I try to move them. It's like there's a soreness that's affecting my arms and making them sensitive."
"3","5226.0","family history of kidney disease","Family history of kidney stones; are hard deposits made of minerals and salts that form inside your kidneys","Family History","2","there is a familial link to nephrolithiasis","I have a familial link to nephrolithiasis."
"3","1527.0","use of tamoxifen","Tamoxifen is a medication that blocks the female hormone estrogen in the body","Medication","2","use of breast cancer medication","I want my doctor to know that I have used breast cancer medication in the past."
"1","516","hyperpigmented skin lesion","Skin hyperpigmentation","Symptom","1","diffuse skin hyperpigmentation","I've noticed a diffuse skin hyperpigmentation on various areas of my body. It's like patches of darker skin that have appeared without any apparent cause or injury."
"3","5124.0","use of propylthiouracil","Propylthiouracil is a medication used to treat hyperthyroidism where the thyroid gland makes too much thyroid hormone","Medication","2","propylthiouracil consumption","I'm taking propylthiouracil consumption"
"1","496","depigmented hair","Patches of grey or white hair","Symptom","2","no hair color","When I walk up the stairs, I get shortness of breath and have to sit down for 20 minutes."
